,title,year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,release_date,production_budget,worldwide_gross,domestic_roi,worldwide_roi,original_language,original_title,popularity,vote_average,vote_count,title_change
504,Mustang,2015.0,97.0,Drama,7.6,30899.0,Cohen,845000.0,0.0,2015-11-20,1400000.0,5552584.0,-0.39609714285714287,2.9661314285714284,tr,Mustang,7.459,8.0,755,False
505,My Big Fat Greek Wedding 2,2016.0,94.0,"Comedy,Romance",6.0,25933.0,Uni.,59700000.0,1.0,2016-03-25,18000000.0,92096558.0,2.3160891666666665,4.116475444444444,en,My Big Fat Greek Wedding 2,6.7139999999999995,5.8,593,False
506,My Soul to Take,2010.0,107.0,"Horror,Mystery,Thriller",4.8,18381.0,Uni.,14700000.0,1.0,2010-10-08,25000000.0,16727470.0,-0.4102226,-0.3309012,en,My Soul to Take,9.808,5.4,247,False
507,My Week with Marilyn,2011.0,99.0,"Biography,Drama",7.0,79337.0,Wein.,14600000.0,1.0,2011-11-23,10000000.0,34240572.0,0.4597405,2.4240572,en,My Week with Marilyn,12.081,6.7,741,False
508,N-Secure,2010.0,105.0,"Crime,Drama,Thriller",3.6,587.0,,,0.0,2010-10-15,1600000.0,2595644.0,0.6222775,0.6222775,en,N-Secure,1.1320000000000001,4.8,6,False
509,Nanny McPhee and the Big Bang,2010.0,109.0,"Comedy,Family,Fantasy",6.1,25048.0,,,0.0,2010-08-20,35000000.0,97799865.0,-0.16578165714285714,1.7942818571428572,en,Nanny McPhee and the Big Bang,15.213,6.1,953,False
510,Nebraska,2013.0,115.0,"Adventure,Comedy,Drama",7.7,105304.0,Par.,17700000.0,1.0,2013-11-15,12000000.0,24761360.0,0.47124266666666664,1.0634466666666667,en,Nebraska,9.521,7.4,967,False
511,Need for Speed,2014.0,132.0,"Action,Crime,Thriller",6.5,154909.0,BV,43600000.0,1.0,2014-03-14,66000000.0,194169619.0,-0.33987110606060605,1.9419639242424243,en,Need for Speed,13.722999999999999,6.1,2389,False
512,Neighbors 2: Sorority Rising,2016.0,92.0,Comedy,5.7,102793.0,Uni.,55500000.0,1.0,2016-05-20,35000000.0,108757621.0,0.5811637142857143,2.1073606,en,Neighbors 2: Sorority Rising,17.662,5.7,2829,False
513,Night School,2018.0,111.0,Comedy,5.6,23501.0,,,0.0,2018-09-28,29000000.0,103008792.0,1.666866551724138,2.5520273103448274,en,Night School,12.786,6.0,775,False
514,Night at the Museum: Secret of the Tomb,2014.0,98.0,"Adventure,Comedy,Family",6.2,93103.0,Fox,113700000.0,1.0,2014-12-19,127000000.0,353756621.0,-0.10435731496062992,1.7854852047244094,en,Night at the Museum: Secret of the Tomb,20.064,6.1,3536,False
515,Nightcrawler,2014.0,117.0,"Crime,Drama,Thriller",7.9,404476.0,ORF,32400000.0,1.0,2014-10-31,8500000.0,50334418.0,2.8095550588235296,4.921696235294117,en,Nightcrawler,25.596999999999998,7.7,5860,False
516,No Good Deed,2014.0,84.0,"Action,Crime,Drama",5.6,16045.0,,,0.0,2014-09-12,13200000.0,54323210.0,2.980578181818182,3.115394696969697,en,No Good Deed,14.519,5.8,286,False
517,Nocturnal Animals,2016.0,116.0,"Drama,Thriller",7.5,205240.0,Focus,10700000.0,1.0,2016-11-18,22500000.0,32398681.0,-0.5260730222222222,0.43994137777777775,en,Nocturnal Animals,16.19,7.4,4192,False
518,Non-Stop,2014.0,106.0,"Action,Mystery,Thriller",7.0,234717.0,Uni.,92200000.0,1.0,2014-02-28,50000000.0,222383055.0,0.8348432,3.4476611,en,Non-Stop,13.562000000000001,6.8,3330,False
519,Norm of the North,2016.0,90.0,"Adventure,Animation,Comedy",3.6,7951.0,LGF,17100000.0,0.0,2016-01-15,18000000.0,30535660.0,-0.05208338888888889,0.6964255555555555,en,Norm of the North,9.325,4.2,192,False
520,Now You See Me 2,2016.0,129.0,"Action,Adventure,Comedy",6.5,216219.0,LG/S,65099999.0,1.0,2016-06-10,90000000.0,328325007.0,-0.27693844444444443,2.648055633333333,en,Now You See Me 2,25.805,6.8,6744,False
521,Obvious Child,2014.0,84.0,"Comedy,Drama,Romance",6.8,21536.0,A24,3100000.0,0.0,2014-06-06,1000000.0,3324070.0,2.122616,2.32407,en,Obvious Child,8.232000000000001,6.7,256,False
